bins	start time(ps)	counts
559	3918801485	15
560	3925811497	20
561	3932822189	19
562	3939832503	26
563	3946843217	13
564	3953853686	15
565	3960863758	24
566	3967874222	13
567	3974884515	21
568	3981894807	16
569	3988905369	19
570	3995915807	19
571	4002925831	13
572	4009936572	22
573	4016946659	21
574	4023956888	21
575	4030967532	22
576	4037978195	17
577	4044988110	22
578	4051998542	20
579	4059009038	16
580	4066019407	20
581	4073029741	20
582	4080040223	17
583	4087050546	16
584	4094060753	18
585	4101071411	15
586	4108082013	11
587	4115092132	26
588	4122102225	14
589	4129112855	19
590	4136123209	28
591	4143133457	21
592	4150143824	11
593	4157154696	15
594	4164164830	11
595	4171174665	17
596	4178185599	19
597	4185196358	20
598	4192206374	20
599	4199216537	14
600	4206227181	22
601	4213237211	12
602	4220247856	18
603	4227258233	22
604	4234268642	22
605	4241278741	17
606	4248289171	14
607	4255300097	16
608	4262309894	18
609	4269320140	16
610	4276330959	26
611	4283341297	21
612	4290351141	20
613	4297362173	17
614	4304372604	18
615	4311382541	22
616	4318392627	12
617	4325403606	20
618	4332413945	15
619	4339423895	14
620	4346434623	13
621	4353445138	19
622	4360455305	11
623	4367465113	14
624	4374476090	19
625	4381486490	17
626	4388497048	17
627	4395507332	17
628	4402518046	17
629	4409527886	12
630	4416538195	11
631	4423548802	15
632	4430559431	18
633	4437569727	18
634	4444579774	21
635	4451590206	22
636	4458600429	18
637	4465611079	21
638	4472621549	15
639	4479631766	17
640	4486642198	12
641	4493652457	13
642	4500662826	14
643	4507672935	24
644	4514683678	19
645	4521694403	13
646	4528704754	10
647	4535714818	27
648	4542725212	21
649	4549735520	17
650	4556745837	18
651	4563756011	19
652	4570766688	22
653	4577777046	22
654	4584787327	29
655	4591797732	29
656	4598808225	15
657	4605818372	23
658	4612828982	20
659	4619839486	14
660	4626849431	16
661	4633860180	18
662	4640870602	13
663	4647880992	16
664	4654890989	20
665	4661901541	19
666	4668912151	19
667	4675922288	15
668	4682932494	17
669	4689943229	19
670	4696953649	22
671	4703963673	17
672	4710974145	23
673	4717984813	21
674	4724994784	19
675	4732005096	11
676	4739016077	8
677	4746026517	18
678	4753036697	18
679	4760047101	16
680	4767057488	23
681	4774067814	12
682	4781077595	13
683	4788088408	18
684	4795098925	11
685	4802109113	23
686	4809119453	18
687	4816130031	19
688	4823140215	12
689	4830150842	18
690	4837161267	18
691	4844171448	17
692	4851181568	13
693	4858192404	13
694	4865202670	14
695	4872212836	11
696	4879223568	12
697	4886233741	16
698	4893244204	19
699	4900254140	23
700	4907264818	18
701	4914275437	22
702	4921285471	17
703	4928295995	14
704	4935306575	17
705	4942316707	12
706	4949327098	19
707	4956337496	15
708	4963347880	26
709	4970358293	13
710	4977368990	18
711	4984379294	17
712	4991389161	21
713	4998399812	16
714	5005410424	16
715	5012420417	14
716	5019430760	19
717	5026441267	15
718	5033451673	29
719	5040461947	21
720	5047472668	20
721	5054483021	16
722	5061493027	21
723	5068503339	17
724	5075513949	18
725	5082524486	14
726	5089534564	25
727	5096545077	22
728	5103555392	15
729	5110565989	17
730	5117576092	24
731	5124586317	19
732	5131597070	18
733	5138607219	23
734	5145617392	14
735	5152628070	24
736	5159638707	17
737	5166648697	18
738	5173659355	15
739	5180669911	11
740	5187680139	16
